id,date
1,2009-10-24
2,2009-10-25
3,2009-11-02
4,2009-11-03
5,2009-11-06
6,2009-11-20
7,2009-11-23
8,2009-11-30
9,2010-08-09
10,2010-01-12
11,2009-12-07
12,2009-12-11
13,2009-12-13
14,2010-01-04
15,2010-01-05
16,2010-01-06
17,2010-01-13
18,2010-01-17
19,2010-01-31
20,2010-02-04
21,2010-02-05
22,2010-02-21
23,2010-03-02
24,2010-03-04
25,2010-03-07
26,2010-03-09
27,2010-03-14
28,2010-03-15
29,2010-03-22
30,2010-04-06
31,2010-04-19
32,2010-04-22
33,2010-04-23
34,2010-04-24
35,2010-04-25
36,2010-04-30
37,2010-05-19
38,2010-05-20
39,2010-05-26
40,2010-05-28
41,2010-06-12
42,2010-06-15
43,2010-06-19
44,2010-06-22
45,2010-06-26
46,2010-06-28
47,2010-06-29
48,2010-06-30
49,2010-07-05
50,2010-07-08
51,2010-07-14
52,2010-07-18
53,2010-07-25
54,2010-08-01
55,2010-08-08
56,2010-08-30
57,2010-09-06
58,2010-09-12
59,2010-09-16
60,2010-09-23
61,2010-09-24
62,2010-09-26
63,2010-10-08
64,2010-10-20
65,2010-10-23
66,2010-10-25
67,2010-10-27
68,2010-10-31
69,2010-11-01
70,2010-11-11
71,2010-11-13
72,2010-11-18
73,2010-11-26
74,2010-12-02
75,2010-12-12
76,2010-12-15
77,2010-12-23
78,2010-12-25
79,2011-01-19
80,2011-01-30
81,2011-02-05
82,2011-02-09
83,2011-02-12
84,2011-02-18
85,2011-03-06
86,2011-04-05
87,2011-04-07
88,2011-04-11
89,2011-04-24
90,2011-04-27
91,2011-05-04
92,2011-05-10
93,2011-05-16
